[2022-06-20T19:13:27.891] [INFO] info - post params:{"permissionList":{"checkedKeys":["60e11a27b993003378ab3079","60e11a99b993003378ab308b","60e11b3bb993003378ab309e","60e11ba3b993003378ab30b0","60e124dc2b79ce59b8c75f42","60e12aaa2b79ce59b8c75fc9","60f2db4893e14b12350aa135","60f38cbcbc31bb26404385c9","60f38cd5bc31bb26404385cc"],"halfCheckedKeys":["60e124a92b79ce59b8c75f3c","60e124d32b79ce59b8c75f3f","60f38cafbc31bb26404385c6","60e11a03b993003378ab3073","60e11a16b993003378ab3076","60e11a8fb993003378ab3088","60e11b08b993003378ab3097","60e11b99b993003378ab30ad"]},"_id":"60f2d87f4aecc10bf16c7465","createTime":"2021-07-17T13:16:32.752Z","roleName":"财务务","remark":"是我啊","__v":0,"updateTime":"2022-06-20T10:31:48.847Z","action":"edit"}
[2022-06-20T19:13:27.968] [INFO] info - get params:{"roleName":"","total":"2","pageSize":"10"}
[2022-06-20T19:13:27.969] [INFO] info - post params:{}
[2022-06-20T19:13:57.235] [INFO] info - get params:{}
[2022-06-20T19:13:57.235] [INFO] info - post params:{}
[2022-06-20T19:13:57.240] [INFO] info - get params:{}
[2022-06-20T19:13:57.242] [INFO] info - post params:{}
[2022-06-20T19:13:57.247] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:13:57.248] [INFO] info - post params:{}
[2022-06-20T19:14:08.189] [INFO] info - get params:{}
[2022-06-20T19:14:08.190] [INFO] info - post params:{}
[2022-06-20T19:14:08.195] [INFO] info - get params:{}
[2022-06-20T19:14:08.195] [INFO] info - post params:{}
[2022-06-20T19:14:08.198] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:14:08.199] [INFO] info - post params:{}
[2022-06-20T19:14:52.569] [INFO] info - get params:{}
[2022-06-20T19:14:52.569] [INFO] info - post params:{}
[2022-06-20T19:14:52.617] [INFO] info - get params:{}
[2022-06-20T19:14:52.618] [INFO] info - post params:{}
[2022-06-20T19:14:52.623] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:14:52.623] [INFO] info - post params:{}
[2022-06-20T19:16:46.990] [INFO] info - get params:{}
[2022-06-20T19:16:46.991] [INFO] info - post params:{}
[2022-06-20T19:16:47.002] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:16:47.003] [INFO] info - post params:{}
[2022-06-20T19:16:47.008] [INFO] info - get params:{}
[2022-06-20T19:16:47.009] [INFO] info - post params:{}
[2022-06-20T19:16:48.870] [INFO] info - get params:{}
[2022-06-20T19:16:48.870] [INFO] info - post params:{"userName":"admin","userPwd":"123456"}
[2022-06-20T19:16:48.917] [INFO] info - get params:{}
[2022-06-20T19:16:48.917] [INFO] info - post params:{}
[2022-06-20T19:16:51.169] [INFO] info - get params:{"menuState":"1"}
[2022-06-20T19:16:51.170] [INFO] info - post params:{}
[2022-06-20T19:16:54.013] [INFO] info - get params:{"menuState":"1"}
[2022-06-20T19:16:54.013] [INFO] info - post params:{}
[2022-06-20T19:16:54.016] [INFO] info - get params:{}
[2022-06-20T19:16:54.017] [INFO] info - post params:{}
[2022-06-20T19:16:56.500] [INFO] info - get params:{}
[2022-06-20T19:16:56.501] [INFO] info - post params:{}
[2022-06-20T19:16:56.806] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:16:56.806] [INFO] info - post params:{}
[2022-06-20T19:17:52.239] [INFO] info - get params:{}
[2022-06-20T19:17:52.240] [INFO] info - post params:{}
[2022-06-20T19:17:52.385] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:17:52.386] [INFO] info - post params:{}
[2022-06-20T19:18:27.273] [INFO] info - get params:{}
[2022-06-20T19:18:27.274] [INFO] info - post params:{"permissionList":{"checkedKeys":["60e11a27b993003378ab3079","60e11a99b993003378ab308b","60e11b3bb993003378ab309e","60e11ba3b993003378ab30b0","60e124dc2b79ce59b8c75f42","60e12aaa2b79ce59b8c75fc9","60f2db4893e14b12350aa135","60f38cbcbc31bb26404385c9","60f38cd5bc31bb26404385cc"],"halfCheckedKeys":["60e124a92b79ce59b8c75f3c","60e124d32b79ce59b8c75f3f","60f38cafbc31bb26404385c6","60e11a03b993003378ab3073","60e11a16b993003378ab3076","60e11a8fb993003378ab3088","60e11b08b993003378ab3097","60e11b99b993003378ab30ad"]},"_id":"60f2d87f4aecc10bf16c7465","createTime":"2021-07-17T13:16:32.752Z","roleName":"财务务","remark":"不不不不","__v":0,"updateTime":"2022-06-20T11:13:27.905Z","action":"edit"}
[2022-06-20T19:18:27.518] [INFO] info - get params:{"roleName":"","total":"2","pageSize":"10"}
[2022-06-20T19:18:27.519] [INFO] info - post params:{}
[2022-06-20T19:18:31.139] [INFO] info - get params:{}
[2022-06-20T19:18:31.139] [INFO] info - post params:{}
[2022-06-20T19:18:31.143] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:18:31.143] [INFO] info - post params:{}
[2022-06-20T19:18:31.182] [INFO] info - get params:{}
[2022-06-20T19:18:31.183] [INFO] info - post params:{}
[2022-06-20T19:18:49.407] [INFO] info - get params:{}
[2022-06-20T19:18:49.407] [INFO] info - post params:{}
[2022-06-20T19:18:49.412] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:18:49.413] [INFO] info - post params:{}
[2022-06-20T19:19:01.163] [INFO] info - get params:{}
[2022-06-20T19:19:01.164] [INFO] info - post params:{}
